dcm_group,topic,label,n,prop,feature,category
DCM+,7,Religion,8,0.09411764705882353,Existential Threat,764
DCM+,15,Statistics/Demographics,1,0.011764705882352941,Existential Threat,764
DCM+,16,Non-English (German/Dutch),1,0.011764705882352941,Existential Threat,764
DCM-,0,Expletive Chat/CSAM,158741,0.7480126474316384,Existential Threat,764
DCM-,1,Platform Administration,16017,0.07547463209827676,Existential Threat,764
DCM-,2,Race/Ethnicity,7387,0.03480870995254857,Existential Threat,764
DCM-,3,Money/Banking,6680,0.03147721436077223,Existential Threat,764
DCM-,4,Extortion/Leaking,3657,0.017232361215171264,Existential Threat,764
DCM-,5,Media Sharing,3641,0.01715696668975624,Existential Threat,764
DCM-,6,Doxxing/Trolling,3450,0.0162569445426144,Existential Threat,764
DCM-,7,Religion,2897,0.013651121257957657,Existential Threat,764
DCM-,8,Food/Drinks,2748,0.012949009740030252,Existential Threat,764
DCM-,9,Gaming,2463,0.01160604475607515,Existential Threat,764
DCM-,10,Time/Dates,1239,0.005838363561825867,Existential Threat,764
DCM-,11,Gore/Illegal Content,656,0.0030911755420159554,Existential Threat,764
DCM-,12,Lore/Storytelling,637,0.003001644543085615,Existential Threat,764
DCM-,13,Subculture/Conspiracy,462,0.002177016921358798,Existential Threat,764
DCM-,14,Usernames/Players,395,0.0018613023461833877,Existential Threat,764
DCM-,15,Statistics/Demographics,415,0.001955545502952167,Existential Threat,764
DCM-,16,Non-English (German/Dutch),370,0.0017434984002224138,Existential Threat,764
DCM-,17,OPSEC/OSINT,253,0.001192175933125056,Existential Threat,764
DCM-,18,Appearance Discussion,109,5.136252043898463e-4,Existential Threat,764
DCM+,0,Expletive Chat,58,0.0361145703611457,Existential Threat,terrorgram
DCM+,1,Antisemitism/Jews,667,0.4153175591531756,Existential Threat,terrorgram
DCM+,2,White Nationalism/Russia-Ukraine,601,0.3742216687422167,Existential Threat,terrorgram
DCM+,3,Media Sharing,5,0.00311332503113325,Existential Threat,terrorgram
DCM+,4,Guns/Violence,10,0.0062266500622665,Existential Threat,terrorgram
DCM+,5,Animals/Nature,3,0.0018679950186799503,Existential Threat,terrorgram
DCM+,6,Raw Diet/Health,4,0.0024906600249066002,Existential Threat,terrorgram
DCM+,7,Paganism/Satanism,23,0.014321295143212951,Existential Threat,terrorgram
DCM+,8,Mental Health/Intelligence,15,0.00933997509339975,Existential Threat,terrorgram
DCM+,9,Non-English (Spanish/Italian),100,0.062266500622665005,Existential Threat,terrorgram
DCM+,10,Saints/Martyrs,47,0.029265255292652552,Existential Threat,terrorgram
DCM+,11,Propaganda Documentary,47,0.029265255292652552,Existential Threat,terrorgram
DCM+,12,Propaganda Materials,2,0.0012453300124533001,Existential Threat,terrorgram
DCM+,13,Social Media/Antisemitism,14,0.008717310087173101,Existential Threat,terrorgram
DCM+,14,Accelerationism,4,0.0024906600249066002,Existential Threat,terrorgram
DCM+,16,Numbers/Nazi Numerology,5,0.00311332503113325,Existential Threat,terrorgram
DCM+,17,Infrastructure (Physical/Digital),1,6.226650062266501e-4,Existential Threat,terrorgram
DCM-,0,Expletive Chat,26606,0.40557308577613144,Existential Threat,terrorgram
DCM-,1,Antisemitism/Jews,9362,0.14271123915793968,Existential Threat,terrorgram
DCM-,2,White Nationalism/Russia-Ukraine,6482,0.098809469367845,Existential Threat,terrorgram
DCM-,3,Media Sharing,3673,0.0559900001524367,Existential Threat,terrorgram
DCM-,4,Guns/Violence,2846,0.04338348500785049,Existential Threat,terrorgram
DCM-,5,Animals/Nature,2747,0.04187436167131599,Existential Threat,terrorgram
DCM-,6,Raw Diet/Health,2226,0.033932409566927335,Existential Threat,terrorgram
DCM-,7,Paganism/Satanism,2010,0.030639776832670235,Existential Threat,terrorgram
DCM-,8,Mental Health/Intelligence,1951,0.029740400298775935,Existential Threat,terrorgram
DCM-,9,Non-English (Spanish/Italian),1557,0.02373439429276993,Existential Threat,terrorgram
DCM-,10,Saints/Martyrs,1675,0.025533147360558527,Existential Threat,terrorgram
DCM-,11,Propaganda Documentary,1579,0.02406975503422204,Existential Threat,terrorgram
DCM-,12,Propaganda Materials,1199,0.018277160409140104,Existential Threat,terrorgram
DCM-,13,Social Media/Antisemitism,539,0.008216338165576743,Existential Threat,terrorgram
DCM-,14,Accelerationism,414,0.006310879407326108,Existential Threat,terrorgram
DCM-,15,Gaming,317,0.004832243410923614,Existential Threat,terrorgram
DCM-,16,Numbers/Nazi Numerology,213,0.0032469017240590843,Existential Threat,terrorgram
DCM-,17,Infrastructure (Physical/Digital),150,0.0022865505099007636,Existential Threat,terrorgram
DCM-,18,Subcultural Identity,55,8.3840185363028e-4,Existential Threat,terrorgram
DCM+,0,Expletive Chat,152,0.13906678865507777,Existential Threat,white-supremacist
DCM+,1,Antisemitism/Racism,689,0.6303751143641354,Existential Threat,white-supremacist
DCM+,2,Firearms/Weapons,13,0.011893870082342177,Existential Threat,white-supremacist
DCM+,3,Animals/Wehrwolf,30,0.027447392497712716,Existential Threat,white-supremacist
DCM+,4,Religious Ideology,45,0.04117108874656908,Existential Threat,white-supremacist
DCM+,5,Vaccines/Health,36,0.03293687099725526,Existential Threat,white-supremacist
DCM+,6,Appearance/Aesthetics,19,0.01738334858188472,Existential Threat,white-supremacist
DCM+,7,Demographics/Heritage,28,0.025617566331198535,Existential Threat,white-supremacist
DCM+,8,Generational Conflict,35,0.03202195791399817,Existential Threat,white-supremacist
DCM+,9,Law Enforcement,24,0.021957913998170174,Existential Threat,white-supremacist
DCM+,10,Fitness/Combat Sports,1,9.149130832570906e-4,Existential Threat,white-supremacist
DCM+,11,Survival/Outdoors,6,0.0054894784995425435,Existential Threat,white-supremacist
DCM+,12,Age/Time Discussion,5,0.004574565416285453,Existential Threat,white-supremacist
DCM+,13,Education/Homeschool,5,0.004574565416285453,Existential Threat,white-supremacist
DCM+,15,Non-English (Spanish/German),4,0.0036596523330283625,Existential Threat,white-supremacist
DCM+,17,Accelerationism,1,9.149130832570906e-4,Existential Threat,white-supremacist
DCM-,0,Expletive Chat,61618,0.333864325964456,Existential Threat,white-supremacist
DCM-,1,Antisemitism/Racism,34954,0.18939098396185522,Existential Threat,white-supremacist
DCM-,2,Firearms/Weapons,20342,0.11021889900303425,Existential Threat,white-supremacist
DCM-,3,Animals/Wehrwolf,10422,0.056469440832249675,Existential Threat,white-supremacist
DCM-,4,Religious Ideology,9875,0.05350563502384049,Existential Threat,white-supremacist
DCM-,5,Vaccines/Health,8697,0.04712288686605982,Existential Threat,white-supremacist
DCM-,6,Appearance/Aesthetics,7128,0.038621586475942785,Existential Threat,white-supremacist
DCM-,7,Demographics/Heritage,6176,0.033463372345036844,Existential Threat,white-supremacist
DCM-,8,Generational Conflict,4907,0.026587559601213697,Existential Threat,white-supremacist
DCM-,9,Law Enforcement,4832,0.026181187689640225,Existential Threat,white-supremacist
DCM-,10,Fitness/Combat Sports,4899,0.026544213263979193,Existential Threat,white-supremacist
DCM-,11,Survival/Outdoors,3815,0.020670784568703946,Existential Threat,white-supremacist
DCM-,12,Age/Time Discussion,3765,0.020399869960988297,Existential Threat,white-supremacist
DCM-,13,Education/Homeschool,1530,0.00828998699609883,Existential Threat,white-supremacist
DCM-,14,Technology/Devices,473,0.0025628521889900302,Existential Threat,white-supremacist
DCM-,15,Non-English (Spanish/German),425,0.0023027741655830083,Existential Threat,white-supremacist
DCM-,16,Tactical Training/Slurs,423,0.0022919375812743823,Existential Threat,white-supremacist
DCM-,17,Accelerationism,184,9.969657563935847e-4,Existential Threat,white-supremacist
DCM-,18,Channel-Specific,95,5.147377546597312e-4,Existential Threat,white-supremacist
DCM+,0,Expletive Chat/CSAM,13620,0.7723715549506635,Outgroup Othering,764
DCM+,1,Platform Administration,779,0.044176023590790515,Outgroup Othering,764
DCM+,2,Race/Ethnicity,1616,0.09164114778269253,Outgroup Othering,764
DCM+,3,Money/Banking,189,0.010717931269139162,Outgroup Othering,764
DCM+,4,Extortion/Leaking,242,0.013723488714982421,Outgroup Othering,764
DCM+,5,Media Sharing,93,0.005273902687989112,Outgroup Othering,764
DCM+,6,Doxxing/Trolling,211,0.011965521152319383,Outgroup Othering,764
DCM+,7,Religion,604,0.0342520131564024,Outgroup Othering,764
DCM+,8,Food/Drinks,58,0.0032891006011114892,Outgroup Othering,764
DCM+,9,Gaming,57,0.003232391970057843,Outgroup Othering,764
DCM+,10,Time/Dates,10,5.670863105364637e-4,Outgroup Othering,764
DCM+,11,Gore/Illegal Content,39,0.0022116366110922084,Outgroup Othering,764
DCM+,12,Lore/Storytelling,12,6.805035726437564e-4,Outgroup Othering,764
DCM+,13,Subculture/Conspiracy,42,0.0023817625042531474,Outgroup Othering,764
DCM+,14,Usernames/Players,3,1.701258931609391e-4,Outgroup Othering,764
DCM+,15,Statistics/Demographics,5,2.8354315526823184e-4,Outgroup Othering,764
DCM+,16,Non-English (German/Dutch),40,0.0022683452421458548,Outgroup Othering,764
DCM+,17,OPSEC/OSINT,9,5.103776794828172e-4,Outgroup Othering,764
DCM+,18,Appearance Discussion,5,2.8354315526823184e-4,Outgroup Othering,764
DCM-,0,Expletive Chat/CSAM,145176,0.7456968949842052,Outgroup Othering,764
DCM-,1,Platform Administration,15245,0.07830598145722578,Outgroup Othering,764
DCM-,2,Race/Ethnicity,5798,0.029781441816267303,Outgroup Othering,764
DCM-,3,Money/Banking,6491,0.03334103808716645,Outgroup Othering,764
DCM-,4,Extortion/Leaking,3416,0.017546292729280634,Outgroup Othering,764
DCM-,5,Media Sharing,3549,0.018229447569150167,Outgroup Othering,764
DCM-,6,Doxxing/Trolling,3240,0.016642268279528468,Outgroup Othering,764
DCM-,7,Religion,2301,0.01181909237999846,Outgroup Othering,764
DCM-,8,Food/Drinks,2690,0.013817191874052958,Outgroup Othering,764
DCM-,9,Gaming,2406,0.012358425148316511,Outgroup Othering,764
DCM-,10,Time/Dates,1229,0.006312761640598916,Outgroup Othering,764
DCM-,11,Gore/Illegal Content,617,0.003169222076687983,Outgroup Othering,764
DCM-,12,Lore/Storytelling,625,0.0032103140971312632,Outgroup Othering,764
DCM-,13,Subculture/Conspiracy,420,0.002157331073272209,Outgroup Othering,764
DCM-,14,Usernames/Players,392,0.0020135090017207283,Outgroup Othering,764
DCM-,15,Statistics/Demographics,411,0.0021111025502735187,Outgroup Othering,764
DCM-,16,Non-English (German/Dutch),331,0.0017001823458407171,Outgroup Othering,764
DCM-,17,OPSEC/OSINT,244,0.001253306623520045,Outgroup Othering,764
DCM-,18,Appearance Discussion,104,5.341962657626422e-4,Outgroup Othering,764
DCM+,0,Expletive Chat,4326,0.2971153846153846,Outgroup Othering,terrorgram
DCM+,1,Antisemitism/Jews,4823,0.33125,Outgroup Othering,terrorgram
DCM+,2,White Nationalism/Russia-Ukraine,2986,0.20508241758241758,Outgroup Othering,terrorgram
DCM+,3,Media Sharing,63,0.004326923076923077,Outgroup Othering,terrorgram
DCM+,4,Guns/Violence,192,0.013186813186813187,Outgroup Othering,terrorgram
DCM+,5,Animals/Nature,292,0.020054945054945057,Outgroup Othering,terrorgram
DCM+,6,Raw Diet/Health,119,0.008173076923076924,Outgroup Othering,terrorgram
DCM+,7,Paganism/Satanism,449,0.03083791208791209,Outgroup Othering,terrorgram
DCM+,8,Mental Health/Intelligence,193,0.013255494505494505,Outgroup Othering,terrorgram
DCM+,9,Non-English (Spanish/Italian),265,0.018200549450549452,Outgroup Othering,terrorgram
DCM+,10,Saints/Martyrs,214,0.014697802197802198,Outgroup Othering,terrorgram
DCM+,11,Propaganda Documentary,177,0.012156593406593407,Outgroup Othering,terrorgram
DCM+,12,Propaganda Materials,53,0.00364010989010989,Outgroup Othering,terrorgram
DCM+,13,Social Media/Antisemitism,343,0.023557692307692307,Outgroup Othering,terrorgram
DCM+,14,Accelerationism,11,7.554945054945055e-4,Outgroup Othering,terrorgram
DCM+,15,Gaming,6,4.120879120879121e-4,Outgroup Othering,terrorgram
DCM+,16,Numbers/Nazi Numerology,39,0.0026785714285714286,Outgroup Othering,terrorgram
DCM+,17,Infrastructure (Physical/Digital),4,2.747252747252747e-4,Outgroup Othering,terrorgram
DCM+,18,Subcultural Identity,5,3.4340659340659343e-4,Outgroup Othering,terrorgram
DCM-,0,Expletive Chat,22344,0.42429075994075427,Outgroup Othering,terrorgram
DCM-,1,Antisemitism/Jews,5210,0.09893281683187118,Outgroup Othering,terrorgram
DCM-,2,White Nationalism/Russia-Ukraine,4097,0.07779803273707797,Outgroup Othering,terrorgram
DCM-,3,Media Sharing,3616,0.06866431202764801,Outgroup Othering,terrorgram
DCM-,4,Guns/Violence,2664,0.050586760852227415,Outgroup Othering,terrorgram
DCM-,5,Animals/Nature,2458,0.046675021837378,Outgroup Othering,terrorgram
DCM-,6,Raw Diet/Health,2111,0.04008583039003456,Outgroup Othering,terrorgram
DCM-,7,Paganism/Satanism,1583,0.030059625536439937,Outgroup Othering,terrorgram
DCM-,8,Mental Health/Intelligence,1774,0.033686529186130416,Outgroup Othering,terrorgram
DCM-,9,Non-English (Spanish/Italian),1392,0.026432721886749458,Outgroup Othering,terrorgram
DCM-,10,Saints/Martyrs,1508,0.02863544871064525,Outgroup Othering,terrorgram
DCM-,11,Propaganda Documentary,1452,0.02757206334738521,Outgroup Othering,terrorgram
DCM-,12,Propaganda Materials,1149,0.021818388971174663,Outgroup Othering,terrorgram
DCM-,13,Social Media/Antisemitism,210,0.003987695112225134,Outgroup Othering,terrorgram
DCM-,14,Accelerationism,407,0.007728532907979188,Outgroup Othering,terrorgram
DCM-,15,Gaming,311,0.005905586570961984,Outgroup Othering,terrorgram
DCM-,16,Numbers/Nazi Numerology,179,0.0033990353575633282,Outgroup Othering,terrorgram
DCM-,17,Infrastructure (Physical/Digital),147,0.0027913865785575936,Outgroup Othering,terrorgram
DCM-,18,Subcultural Identity,50,9.494512171964605e-4,Outgroup Othering,terrorgram
DCM+,0,Expletive Chat,9917,0.2777404357811012,Outgroup Othering,white-supremacist
DCM+,1,Antisemitism/Racism,16119,0.45143673332213075,Outgroup Othering,white-supremacist
DCM+,2,Firearms/Weapons,1000,0.02800649750742172,Outgroup Othering,white-supremacist
DCM+,3,Animals/Wehrwolf,1861,0.05212009186131183,Outgroup Othering,white-supremacist
DCM+,4,Religious Ideology,1356,0.037976810620063854,Outgroup Othering,white-supremacist
DCM+,5,Vaccines/Health,891,0.024953789279112754,Outgroup Othering,white-supremacist
DCM+,6,Appearance/Aesthetics,1033,0.02893071192516664,Outgroup Othering,white-supremacist
DCM+,7,Demographics/Heritage,814,0.02279728897104128,Outgroup Othering,white-supremacist
DCM+,8,Generational Conflict,783,0.02192908754831121,Outgroup Othering,white-supremacist
DCM+,9,Law Enforcement,875,0.024505685318994008,Outgroup Othering,white-supremacist
DCM+,10,Fitness/Combat Sports,277,0.007757799809555817,Outgroup Othering,white-supremacist
DCM+,11,Survival/Outdoors,257,0.007197669859407382,Outgroup Othering,white-supremacist
DCM+,12,Age/Time Discussion,139,0.0038929031535316194,Outgroup Othering,white-supremacist
DCM+,13,Education/Homeschool,88,0.0024645717806531116,Outgroup Othering,white-supremacist
DCM+,14,Technology/Devices,25,7.00162437685543e-4,Outgroup Othering,white-supremacist
DCM+,15,Non-English (Spanish/German),82,0.002296532795608581,Outgroup Othering,white-supremacist
DCM+,16,Tactical Training/Slurs,167,0.004677085083739428,Outgroup Othering,white-supremacist
DCM+,17,Accelerationism,7,1.9604548255195206e-4,Outgroup Othering,white-supremacist
DCM+,18,Channel-Specific,15,4.2009746261132585e-4,Outgroup Othering,white-supremacist
DCM-,0,Expletive Chat,51861,0.34582299751940465,Outgroup Othering,white-supremacist
DCM-,1,Antisemitism/Racism,19522,0.13017790936491425,Outgroup Othering,white-supremacist
DCM-,2,Firearms/Weapons,19357,0.12907764530153903,Outgroup Othering,white-supremacist
DCM-,3,Animals/Wehrwolf,8592,0.057293750500120026,Outgroup Othering,white-supremacist
DCM-,4,Religious Ideology,8568,0.05713371209090182,Outgroup Othering,white-supremacist
DCM-,5,Vaccines/Health,7842,0.05229255021205089,Outgroup Othering,white-supremacist
DCM-,6,Appearance/Aesthetics,6114,0.0407697847483396,Outgroup Othering,white-supremacist
DCM-,7,Demographics/Heritage,5390,0.03594195940359019,Outgroup Othering,white-supremacist
DCM-,8,Generational Conflict,4159,0.027733322664106053,Outgroup Othering,white-supremacist
DCM-,9,Law Enforcement,3983,0.026559707663172494,Outgroup Othering,white-supremacist
DCM-,10,Fitness/Combat Sports,4623,0.03082739857565816,Outgroup Othering,white-supremacist
DCM-,11,Survival/Outdoors,3564,0.023765703768904536,Outgroup Othering,white-supremacist
DCM-,12,Age/Time Discussion,3631,0.02421247766130538,Outgroup Othering,white-supremacist
DCM-,13,Education/Homeschool,1447,0.009648982422448054,Outgroup Othering,white-supremacist
DCM-,14,Technology/Devices,449,0.002994051905790723,Outgroup Othering,white-supremacist
DCM-,15,Non-English (Spanish/German),348,0.0023205569336640793,Outgroup Othering,white-supremacist
DCM-,16,Tactical Training/Slurs,256,0.0017070763649942654,Outgroup Othering,white-supremacist
DCM-,17,Accelerationism,178,0.0011869515350350752,Outgroup Othering,white-supremacist
DCM-,18,Channel-Specific,80,5.33461364060708e-4,Outgroup Othering,white-supremacist
