feature,category,topic,label,odds_ratio,ci_lo,ci_hi,p_value
Identity Fusion,764,1,Platform Administration,1.2391440174934691,0.6450333711638238,2.16643102939974,0.48390310547779464
Identity Fusion,764,2,Race/Ethnicity,4.474034470300069,2.685492458589406,7.084071320693363,1.139853167225307e-9
Identity Fusion,764,3,Money/Banking,0.49504517997111697,0.08157874828831554,1.5618095291953074,0.325118801467895
Identity Fusion,764,4,Extortion/Leaking,1.3565321477416175,0.3333480606604552,3.6072849670027427,0.6031462490465622
Identity Fusion,764,5,Media Sharing,7.114946864147573e-7,1.5088134060641412e-89,0.07071244267592436,0.9766889960810202
Identity Fusion,764,6,Doxxing/Trolling,3.3591632791354797,1.4134508275756588,6.723984760061245,0.0019881825562608688
Identity Fusion,764,7,Religion,3.993427108487093,1.6801514901928383,7.994918945657686,4.113159646545468e-4
Identity Fusion,764,8,Food/Drinks,7.114946864734514e-7,4.887562731446465e-102,0.4022024871428776,0.9797477089292715
Identity Fusion,764,9,Gaming,7.114946863264344e-7,2.1576712436938757e-107,0.8475047085654456,0.980826436323157
Identity Fusion,764,10,Time/Dates,1.3360617084352064,0.07579136985909483,5.991672204735331,0.7732603728927225
Identity Fusion,764,11,Gore/Illegal Content,7.114946864946767e-7,1.204726388814095e-201,422094.7733271678,0.9901041471497712
Identity Fusion,764,12,Lore/Storytelling,5.205380577413049,0.8567726516379689,16.469910839108895,0.02113742233763699
Identity Fusion,764,13,Subculture/Conspiracy,7.11494686453141e-7,5.787314669759054e-239,76063542.3441103,0.9916952686075108
Identity Fusion,764,14,Usernames/Players,7.114946864573067e-7,7.071757594988478e-258,1057785888.0846164,0.9923210067174315
Identity Fusion,764,15,Statistics/Demographics,3.982429718888273,0.2257414438891298,17.907769522049712,0.16971818090168084
Identity Fusion,764,16,Non-English (German/Dutch),13.473165760898697,3.3017183773175454,36.03006559770917,9.9480644582508e-6
Identity Fusion,764,17,OPSEC/OSINT,7.114946863818057e-7,1.671e-320,6455897694827.044,0.9938543416812583
Identity Fusion,764,18,Appearance Discussion,7.114946864640798e-7,0,5428250065483092e7,0.9959661119250154
Identity Fusion,terrorgram,1,Antisemitism/Jews,6.549520542163669,4.62556365726111,9.43826673227311,3.825356501882213e-25
Identity Fusion,terrorgram,2,White Nationalism/Russia-Ukraine,20.12570142098203,14.667394289390119,28.284872534861513,3.6672908276368304e-72
Identity Fusion,terrorgram,3,Media Sharing,1.3508418021028303,0.5879584545066309,2.7199629450745655,0.43526480240040805
Identity Fusion,terrorgram,4,Guns/Violence,3.489912647294076,1.9063461204504184,6.074614538082403,2.0586088965919717e-5
Identity Fusion,terrorgram,5,Animals/Nature,0.6762817798400917,0.16382955043993674,1.8544287454825257,0.5126925854412463
Identity Fusion,terrorgram,6,Raw Diet/Health,0.8338885349981502,0.20199058051365487,2.2870282643864335,0.7611306232991677
Identity Fusion,terrorgram,7,Paganism/Satanism,5.219938169063093,2.893412084793083,8.997243707075462,8.962313975937827e-9
Identity Fusion,terrorgram,8,Mental Health/Intelligence,2.529206356745463,1.1002993101692722,5.096207563709696,0.016152566259637187
Identity Fusion,terrorgram,9,Non-English (Spanish/Italian),12.9678316066824,8.199644078206152,20.348818106034493,1.2960743016655381e-28
Identity Fusion,terrorgram,10,Saints/Martyrs,7.642262417450852,4.441410930499687,12.746476721571794,2.8365933018818154e-14
Identity Fusion,terrorgram,11,Propaganda Documentary,5.781661791531719,3.1031583395309776,10.188776403682501,5.538518411522062e-9
Identity Fusion,terrorgram,12,Propaganda Materials,3.105467838531164,1.1835988832946676,6.764667076318425,0.009480368526338661
Identity Fusion,terrorgram,13,Social Media/Antisemitism,5.352613198906028e-6,6.97869272055916e-69,2.2323573843052985e-80,0.9650952023701521
Identity Fusion,terrorgram,14,Accelerationism,1.4844682393617663,0.08363996926213611,6.82431634034291,0.6964791917335427
Identity Fusion,terrorgram,15,Gaming,5.3526131991218825e-6,4.689507900944876e-89,3.080795063764951e-104,0.9735691359743116
Identity Fusion,terrorgram,16,Numbers/Nazi Numerology,11.570528146061271,3.458952532400785,28.882907046805077,3.416398689474929e-6
Identity Fusion,terrorgram,17,Infrastructure (Physical/Digital),4.126821705425217,0.23205212432881384,19.104975014147918,0.16249213885542696
Identity Fusion,terrorgram,18,Subcultural Identity,5.3526131990416905e-6,2.1272335543917e-205,7.55793282589805e-242,0.9889889490789141
Identity Fusion,white-supremacist,1,Antisemitism/Racism,5.108057127706412,4.160380070284043,6.316106635157638,5.055541794193698e-53
Identity Fusion,white-supremacist,2,Firearms/Weapons,0.40759236136147414,0.23269271431450336,0.665868242991523,7.545432753103614e-4
Identity Fusion,white-supremacist,3,Animals/Wehrwolf,4.550446527409019,3.4536052904501102,5.9758682887604415,2.0088498561638694e-27
Identity Fusion,white-supremacist,4,Religious Ideology,3.2046391462638573,2.338450115943832,4.347012014211967,1.6042831638834505e-13
Identity Fusion,white-supremacist,5,Vaccines/Health,0.8319086781403836,0.45694898820475544,1.3963553464917726,0.515172586794285
Identity Fusion,white-supremacist,6,Appearance/Aesthetics,0.9441142310582066,0.5068680211016415,1.6098176609407506,0.8440675186230454
Identity Fusion,white-supremacist,7,Demographics/Heritage,2.4331861327528816,1.5907539117311498,3.5994913201306,1.828139576307365e-5
Identity Fusion,white-supremacist,8,Generational Conflict,2.5288631621070343,1.591881436095969,3.8497565158111438,3.5164917522810886e-5
Identity Fusion,white-supremacist,9,Law Enforcement,0.7483916389502374,0.3161717671806569,1.4881067831115116,0.45647569488039125
Identity Fusion,white-supremacist,10,Fitness/Combat Sports,0.6351869722142925,0.24859115964416317,1.321280903887694,0.2783755818081272
Identity Fusion,white-supremacist,11,Survival/Outdoors,0.4072052714185929,0.10028592652544671,1.0776574311616525,0.12447392104987715
Identity Fusion,white-supremacist,12,Age/Time Discussion,0.8258780664228141,0.32318598273697974,1.7182543674884345,0.6477754280815617
Identity Fusion,white-supremacist,13,Education/Homeschool,2.373498614105775,1.0018472322607668,4.726020625649484,0.02658541072506857
Identity Fusion,white-supremacist,14,Technology/Devices,4.479950260791952e-6,2.2304227644237915e-96,6.220824895215091e-94,0.9672439630643754
Identity Fusion,white-supremacist,15,Non-English (Spanish/German),7.331615665130415,2.858390924072666,15.34711329670577,2.252515650413185e-6
Identity Fusion,white-supremacist,16,Tactical Training/Slurs,4.479950260695764e-6,1.446661747099347e-101,5.575999694300652e-99,0.9690226781663661
Identity Fusion,white-supremacist,17,Accelerationism,4.479950260817991e-6,1.8122241076443108e-150,1.4739059078240964e-146,0.9795109903187145
Identity Fusion,white-supremacist,18,Channel-Specific,4.479950260836087e-6,4.492103148383843e-117,19469.124604015185,0.9853168196313474
Violence Condoning,764,1,Platform Administration,0.2556240047913903,0.2010585869765306,0.31958328055733787,6.9805471044338e-31
Violence Condoning,764,2,Race/Ethnicity,0.975654192201303,0.8126384187918853,1.1604992703026933,0.7861034948583355
Violence Condoning,764,3,Money/Banking,0.298503218963406,0.21074305012874983,0.4082584810173295,6.567969707413671e-13
Violence Condoning,764,4,Extortion/Leaking,0.9498349553587895,0.7293206136012278,1.2126579879542083,0.6910207494957931
Violence Condoning,764,5,Media Sharing,0.6272445220347896,0.4526898145556631,0.8430020013175451,0.0031956262731893227
Violence Condoning,764,6,Doxxing/Trolling,0.7934835223779269,0.5891537947643598,1.0419168690129454,0.11095056719514093
Violence Condoning,764,7,Religion,1.5801432791364098,1.2532777099250196,1.9626930261461513,6.2402754342341e-5
Violence Condoning,764,8,Food/Drinks,0.22140836737955696,0.11474002532197304,0.3802382775260756,6.33194773337968e-7
Violence Condoning,764,9,Gaming,0.06718344806133177,0.016691302572621344,0.1744711579245169,2.9865864272712936e-6
Violence Condoning,764,10,Time/Dates,0.1337146296375496,0.03320562188672186,0.3475830874816812,5.03523481242727e-4
Violence Condoning,764,11,Gore/Illegal Content,2.001705893281339,1.2809610544740533,2.965068767274512,0.001128075939384753
Violence Condoning,764,12,Lore/Storytelling,0.08662016888536515,0.004935232072420354,0.3822933132011182,0.014530943433178485
Violence Condoning,764,13,Subculture/Conspiracy,0.3600681530105102,0.08928003452405056,0.9390463666793322,0.07798046522587108
Violence Condoning,764,14,Usernames/Players,1.5781112018750239,0.8130393664253387,2.7338628722989333,0.13647132216210545
Violence Condoning,764,15,Statistics/Demographics,3.5198490505994435e-6,8.397854767645704e-32,1.6110412957914277e-38,0.9149992056773967
Violence Condoning,764,16,Non-English (German/Dutch),1.3696515102142885,0.6533446502078099,2.4966247518260465,0.3520169996437312
Violence Condoning,764,17,OPSEC/OSINT,3.519849050845636e-6,5.102778095379076e-34,1.2611938323800954e-45,0.9336624710265623
Violence Condoning,764,18,Appearance Discussion,3.5198490505548943e-6,6.554095814590859e-45,0.005567714317583907,0.9564289994727477
Violence Condoning,terrorgram,1,Antisemitism/Jews,4.688627801201574,4.253378078084506,5.171846365262488,8.725068287494317e-211
Violence Condoning,terrorgram,2,White Nationalism/Russia-Ukraine,3.6734486905221417,3.2867747681305506,4.104962625142824,1.47805502746614e-116
Violence Condoning,terrorgram,3,Media Sharing,0.18400745611297803,0.11086419932346503,0.2849442806015283,1.5361709079643621e-12
Violence Condoning,terrorgram,4,Guns/Violence,3.9715219754558375,3.4288638714832613,4.588203547673505,5.741119988157367e-77
Violence Condoning,terrorgram,5,Animals/Nature,1.1213504732919182,0.8803030178661047,1.408860748497283,0.33908363750165543
Violence Condoning,terrorgram,6,Raw Diet/Health,0.3900211404899094,0.24959361410565345,0.5777035217023625,9.943035424296998e-6
Violence Condoning,terrorgram,7,Paganism/Satanism,0.7319848594775304,0.5200357872350158,0.9994172588441852,0.060484460309605186
Violence Condoning,terrorgram,8,Mental Health/Intelligence,0.7966915648444797,0.5706836425658032,1.0806031931824878,0.1617669111069733
Violence Condoning,terrorgram,9,Non-English (Spanish/Italian),2.53197974538827,2.0388766271013132,3.113917859942091,7.438967466444336e-18
Violence Condoning,terrorgram,10,Saints/Martyrs,4.045953734718406,3.383330184164031,4.813082931897186,1.4965800952281894e-54
Violence Condoning,terrorgram,11,Propaganda Documentary,1.1132774595994959,0.814260340216908,1.4849475265857024,0.4828896754996032
Violence Condoning,terrorgram,12,Propaganda Materials,0.313968725219137,0.15640795729400297,0.5554267900605219,2.9274402082324477e-4
Violence Condoning,terrorgram,13,Social Media/Antisemitism,5.51282181591917,4.21816141561165,7.104821430301264,8.222653799931396e-38
Violence Condoning,terrorgram,14,Accelerationism,2.3807297739252253,1.539042560577006,3.5153844556024527,3.563857939579387e-5
Violence Condoning,terrorgram,15,Gaming,6.49987642094422e-6,8.174556137620553e-21,1.1051502093773276e-23,0.8838324567039696
Violence Condoning,terrorgram,16,Numbers/Nazi Numerology,10.28642331090877,7.309859793532523,14.206610979579706,3.293594749783294e-43
Violence Condoning,terrorgram,17,Infrastructure (Physical/Digital),3.5255502652131714,1.8917001095981956,6.014329249584262,1.666186612650631e-5
Violence Condoning,terrorgram,18,Subcultural Identity,6.499876420950709e-6,2.935745774182095e-35,0.016750021302348452,0.9514698534595918
Violence Condoning,white-supremacist,1,Antisemitism/Racism,3.3400398626076586,3.1462159904036193,3.5469098873429914,0
Violence Condoning,white-supremacist,2,Firearms/Weapons,1.3286331935992381,1.2177155945138425,1.4483172216157485,1.3290286205381793e-10
Violence Condoning,white-supremacist,3,Animals/Wehrwolf,2.405434362934443,2.195239794352615,2.6329348177191285,6.67709472271938e-80
Violence Condoning,white-supremacist,4,Religious Ideology,0.7957270999961226,0.6897312828357608,0.9135695816831989,0.0014301023071174028
Violence Condoning,white-supremacist,5,Vaccines/Health,0.7546652846278916,0.6461821455768801,0.8761290125531994,2.872021274336628e-4
Violence Condoning,white-supremacist,6,Appearance/Aesthetics,1.300115928800271,1.1365080062050856,1.4812966339064566,1.0250405790710594e-4
Violence Condoning,white-supremacist,7,Demographics/Heritage,1.01907129816276,0.8690135794112818,1.1876013892839437,0.8124635994540884
Violence Condoning,white-supremacist,8,Generational Conflict,2.028957442899281,1.7775434928835356,2.3073823510435356,2.0392689592247735e-26
Violence Condoning,white-supremacist,9,Law Enforcement,2.3708031822886277,2.091256145845631,2.6792956122813196,1.737242970048674e-42
Violence Condoning,white-supremacist,10,Fitness/Combat Sports,0.7146071428571611,0.5793675919884347,0.8710391407953216,0.001221069332983903
Violence Condoning,white-supremacist,11,Survival/Outdoors,1.4897245873493505,1.2576264857338695,1.7523010037138274,2.4330730839602964e-6
Violence Condoning,white-supremacist,12,Age/Time Discussion,0.3399791818149335,0.24076934500936922,0.46419718968772694,1.0401313004109477e-10
Violence Condoning,white-supremacist,13,Education/Homeschool,0.33849812030117493,0.1940068350823286,0.5427981993171912,3.228861225737906e-5
Violence Condoning,white-supremacist,14,Technology/Devices,0.29192462006162756,0.09026850845038698,0.682977574815779,0.014315319236059583
Violence Condoning,white-supremacist,15,Non-English (Spanish/German),2.7648276358443518,1.8857517238815167,3.909311714286219,4.0971722318254454e-8
Violence Condoning,white-supremacist,16,Tactical Training/Slurs,2.9024043956055166,1.9904825773085233,4.086573574232101,5.692175449583711e-9
Violence Condoning,white-supremacist,17,Accelerationism,3.4709489795949278,2.026616246754335,5.556278376286841,1.1305393131201694e-6
Violence Condoning,white-supremacist,18,Channel-Specific,4.401906069170504e-5,1.7868580555943598e-12,5.604358410325209e-4,0.8551076168511501
Existential Threat,764,1,Platform Administration,0.6463553669887198,0.15689795657672412,1.7647312417863141,0.4639844757636299
Existential Threat,764,2,Race/Ethnicity,11.678933614318435,7.07099874700753,18.841794827003067,5.0726039438981576e-23
Existential Threat,764,3,Money/Banking,5.465277803658324e-7,1.9362477285389167e-98,2457.494252616207,0.9804912984153366
Existential Threat,764,4,Extortion/Leaking,5.46527780235891e-7,1.3781544081529976e-130,6078146.399838831,0.9855648199247049
Existential Threat,764,5,Media Sharing,5.465277803171289e-7,7.379476439149587e-131,6492391.999097342,0.9855964292903675
Existential Threat,764,6,Doxxing/Trolling,1.0002583490873274,0.056455146673871096,4.570237966306034,0.999796127828017
Existential Threat,764,7,Religion,9.529558313771643,4.159826153299078,19.096082200187258,4.1496115224747886e-9
Existential Threat,764,8,Food/Drinks,5.465277803399909e-7,1.4287914968565019e-149,613227882.3622177,0.9874866387859887
Existential Threat,764,9,Gaming,5.465277803378309e-7,1.3533902717160552e-157,4310526480.267293,0.9881532378249148
Existential Threat,764,10,Time/Dates,5.465277803619851e-7,2.4769510078720926e-219,14161272362150208,0.9915974510704848
Existential Threat,764,11,Gore/Illegal Content,5.465277802876711e-7,8.169654159785914e-299,34723750580244695e8,0.9938859203077396
Existential Threat,764,12,Lore/Storytelling,5.465277803442393e-7,3.9083888184110795e-303,992285932570698e10,0.9939751114900099
Existential Threat,764,13,Subculture/Conspiracy,5.465277803533418e-7,0,277026372547014e16,0.9948690070190511
Existential Threat,764,14,Usernames/Players,5.465277803450179e-7,0,2713925354485327e18,0.9952556205638756
Existential Threat,764,15,Statistics/Demographics,8.315400733341582,0.4688558408265877,38.12627078734421,0.036350754721156904
Existential Threat,764,16,Non-English (German/Dutch),9.326733254976322,0.5258060855081521,42.783878828653634,0.027378371679154943
Existential Threat,764,17,OPSEC/OSINT,5.465277803437092e-7,0,21775982725099783e27,0.996202987315865
Existential Threat,764,18,Appearance Discussion,5.465277803363309e-7,0,20163284915804254e53,0.9975077249511731
Existential Threat,terrorgram,1,Antisemitism/Jews,32.68201239055453,25.204145534636964,43.236860095006314,5.0142122328508165e-142
Existential Threat,terrorgram,2,White Nationalism/Russia-Ukraine,42.532120780145014,32.74677428297703,56.346006308078465,3.5119472134688733e-162
Existential Threat,terrorgram,3,Media Sharing,0.6244543124572317,0.21784803454028603,1.4103642652306116,0.3127120677097493
Existential Threat,terrorgram,4,Guns/Violence,1.611820583032775,0.774394765237896,3.0147223477147094,0.16396989337134682
Existential Threat,terrorgram,5,Animals/Nature,0.5009728481227779,0.12216157767149467,1.3543258503814255,0.24332314639783403
Existential Threat,terrorgram,6,Raw Diet/Health,0.8243021346471701,0.2497927577208052,2.0057354661232885,0.7088337774138466
Existential Threat,terrorgram,7,Paganism/Satanism,5.249082175335416,3.1699956670682123,8.405263070100574,2.0943793416971097e-11
Existential Threat,terrorgram,8,Mental Health/Intelligence,3.5268385796875,1.9248288307220807,6.06515636942605,1.4444890047958732e-5
Existential Threat,terrorgram,9,Non-English (Spanish/Italian),29.462051247972457,21.31580222018129,41.09400511594616,3.8210665713984477e-91
Existential Threat,terrorgram,10,Saints/Martyrs,12.871662377767775,8.701443121510815,18.943629686345684,3.8190541396299134e-38
Existential Threat,terrorgram,11,Propaganda Documentary,13.65423336464813,9.228856896747788,20.099005934880545,8.22977238674338e-40
Existential Threat,terrorgram,12,Propaganda Materials,0.7651778781168728,0.12530860112947984,2.452167621492863,0.7100158346912235
Existential Threat,terrorgram,13,Social Media/Antisemitism,11.914912673532255,6.353907525148379,20.863165920765223,1.8167274355956464e-16
Existential Threat,terrorgram,14,Accelerationism,4.432117274697211,1.3395037824791471,10.836348772931121,0.004144239492828349
Existential Threat,terrorgram,15,Gaming,2.9308898066097075e-5,3.5722708686042885e-63,7.063223365258547e-55,0.938268316522652
Existential Threat,terrorgram,16,Numbers/Nazi Numerology,10.768172251913153,3.7304938576440394,24.604509419683193,4.55091480703765e-7
Existential Threat,terrorgram,17,Infrastructure (Physical/Digital),3.0581609195394144,0.1724414217266623,14.013356563930719,0.26930433760920136
Existential Threat,terrorgram,18,Subcultural Identity,2.9308898066615415e-5,3.1500122068080226e-54,9.637090391118624,0.9742653267300924
Existential Threat,white-supremacist,1,Antisemitism/Racism,7.990728039561195,6.721414073139581,9.562117125647518,2.448905874678977e-118
Existential Threat,white-supremacist,2,Firearms/Weapons,0.25906796412909566,0.13982683454575917,0.4383319680377691,2.9787050995337666e-6
Existential Threat,white-supremacist,3,Animals/Wehrwolf,1.1669014938038123,0.7738737070765963,1.7002136794012945,0.44039649916713575
Existential Threat,white-supremacist,4,Religious Ideology,1.847308461026919,1.309405227384841,2.554513669675535,3.0736840559587056e-4
Existential Threat,white-supremacist,5,Vaccines/Health,1.6780196437978252,1.149045880553436,2.3848845258384737,0.005316087421701558
Existential Threat,white-supremacist,6,Appearance/Aesthetics,1.0805625701460075,0.6489558772563668,1.6958299046509386,0.7504850043257181
Existential Threat,white-supremacist,7,Demographics/Heritage,1.837869852743368,1.2025627159041699,2.7059618341190204,0.0031452547991269986
Existential Threat,white-supremacist,8,Generational Conflict,2.8914520609663956,1.9698034715506552,4.126747765458506,1.6465822406519232e-8
Existential Threat,white-supremacist,9,Law Enforcement,2.0134846636448973,1.276264988599185,3.036972994986361,0.001478072400851227
Existential Threat,white-supremacist,10,Fitness/Combat Sports,0.08274782178956366,0.004703840612890733,0.36827520795220114,0.013008782828633464
Existential Threat,white-supremacist,11,Survival/Outdoors,0.6375594950670956,0.250293132232849,1.3191387522725129,0.27990638810189417
Existential Threat,white-supremacist,12,Age/Time Discussion,0.5383553505280164,0.19093501691459747,1.1798784650888703,0.17335595560522535
Existential Threat,white-supremacist,13,Education/Homeschool,1.3247764017883201,0.46956046627029074,2.906544339160888,0.5367175893909276
Existential Threat,white-supremacist,14,Technology/Devices,9.528343332068077e-6,8.284654545259511e-73,3.1911599626537984e-66,0.9493235001273261
Existential Threat,white-supremacist,15,Non-English (Spanish/German),3.8153560371541895,1.1698088834622276,9.073058815321291,0.00850363887668757
Existential Threat,white-supremacist,16,Tactical Training/Slurs,9.528343331731576e-6,1.1629109316161787e-76,1.0704743682864014e-69,0.9520733447952114
Existential Threat,white-supremacist,17,Accelerationism,2.2031607551492565,0.12492913685910921,9.892867917119306,0.4323455262426685
Existential Threat,white-supremacist,18,Channel-Specific,9.528343331819725e-6,5.936628572919059e-73,7.022009011804358,0.9772766969191672
Outgroup Othering,764,1,Platform Administration,0.5446628417196125,0.5053825095873477,0.5861340108907711,4.17568799096694e-58
Outgroup Othering,764,2,Race/Ethnicity,2.9708509542330743,2.8030979812676686,3.1470318636027295,9.104464859967145e-298
Outgroup Othering,764,3,Money/Banking,0.31036155110127567,0.2673930116088201,0.35790346421670044,8.013441756044913e-56
Outgroup Othering,764,4,Extortion/Leaking,0.7551186951268979,0.6603984329272697,0.8592588475293139,2.855907717453092e-5
Outgroup Othering,764,5,Media Sharing,0.2793152628478102,0.22560906081787838,0.34122507516435885,1.0867670597211865e-33
Outgroup Othering,764,6,Doxxing/Trolling,0.6941529341385064,0.601524566321076,0.7965766485188268,3.436493558192953e-7
Outgroup Othering,764,7,Religion,2.7979376903723048,2.5518049290875795,3.0631966830590835,4.479042364665471e-108
Outgroup Othering,764,8,Food/Drinks,0.22982296971902275,0.17509863201705436,0.29522088116318024,2.0826630210310285e-28
Outgroup Othering,764,9,Gaming,0.25252068067522726,0.19186930533740548,0.32515238844767175,1.2241366937724673e-24
Outgroup Othering,764,10,Time/Dates,0.08672929923918171,0.04335903939417902,0.15261365795948253,1.385886422895448e-14
Outgroup Othering,764,11,Gore/Illegal Content,0.6737474921279938,0.4793852985620756,0.9182428633944463,0.016930991991232283
Outgroup Othering,764,12,Lore/Storytelling,0.20465339206978783,0.10907366224557122,0.34554862832135286,5.298256797340097e-8
Outgroup Othering,764,13,Subculture/Conspiracy,1.0659030837001657,0.7646171981690781,1.4457053258505153,0.693754863136169
Outgroup Othering,764,14,Usernames/Players,0.0815742162974643,0.02022494452295703,0.2127890560213693,1.5309434198831273e-5
Outgroup Othering,764,15,Statistics/Demographics,0.12967190799409503,0.046307020788153096,0.2807056763140693,5.64422547621368e-6
Outgroup Othering,764,16,Non-English (German/Dutch),1.28810040326266,0.91361411039288,1.765689146911304,0.1309827200093193
Outgroup Othering,764,17,OPSEC/OSINT,0.39316097349543616,0.18709169191754607,0.7193724910831963,0.005970701067661406
Outgroup Othering,764,18,Appearance Discussion,0.5124534056254991,0.18094838598689594,1.132167417880434,0.14430545785484888
Outgroup Othering,terrorgram,1,Antisemitism/Jews,4.781387548220078,4.5441658717711055,5.031425773530298,0
Outgroup Othering,terrorgram,2,White Nationalism/Russia-Ukraine,3.764421516096374,3.554751702131063,3.9864513654083704,0
Outgroup Othering,terrorgram,3,Media Sharing,0.08998840672714749,0.06928496293205048,0.11460168502851617,8.693057528348003e-79
Outgroup Othering,terrorgram,4,Guns/Violence,0.3722557508965014,0.3194236497938133,0.43127517571305457,3.995382043165754e-38
Outgroup Othering,terrorgram,5,Animals/Nature,0.6135859132456074,0.5401600411268054,0.694491164288209,2.5134496260603647e-14
Outgroup Othering,terrorgram,6,Raw Diet/Health,0.2911609553288001,0.24015065587923817,0.34954249129517284,4.6751207874746745e-38
Outgroup Othering,terrorgram,7,Paganism/Satanism,1.465007451747461,1.3115051660019457,1.6334583837327217,9.088791752408142e-12
Outgroup Othering,terrorgram,8,Mental Health/Intelligence,0.5619246724534506,0.48124694424350145,0.6524357219838107,1.1011292742306678e-13
Outgroup Othering,terrorgram,9,Non-English (Spanish/Italian),0.9832886954581153,0.857202567479293,1.1237783914601318,0.8071822052614885
Outgroup Othering,terrorgram,10,Saints/Martyrs,0.7329710798074514,0.6312913111530865,0.8468848812304874,3.371498944221989e-5
Outgroup Othering,terrorgram,11,Propaganda Documentary,0.6296236861110335,0.5351681985663717,0.7362526190166547,1.2820316299013958e-8
Outgroup Othering,terrorgram,12,Propaganda Materials,0.23824854030949685,0.1784111693746301,0.3109906074231091,3.6921137559643355e-24
Outgroup Othering,terrorgram,13,Social Media/Antisemitism,8.436245954695613,7.090747689346491,10.060130857968169,2.274112378686432e-126
Outgroup Othering,terrorgram,14,Accelerationism,0.13959590659945117,0.07196351611716506,0.24161412501409815,1.238901346942995e-10
Outgroup Othering,terrorgram,15,Gaming,0.09964724046080829,0.039353708809952766,0.20407453307343068,2.2568184998225095e-8
Outgroup Othering,terrorgram,16,Numbers/Nazi Numerology,1.125345772088739,0.7838469523154085,1.5748764486259843,0.5058417571032414
Outgroup Othering,terrorgram,17,Infrastructure (Physical/Digital),0.14054553861564517,0.04320307119676459,0.3326200036314222,1.0880633521105039e-4
Outgroup Othering,terrorgram,18,Subcultural Identity,0.5165048543688676,0.17943841977741878,1.1754687917444644,0.15922822003148482
Outgroup Othering,white-supremacist,1,Antisemitism/Racism,4.317917699593406,4.1906444875660345,4.449265860929236,0
Outgroup Othering,white-supremacist,2,Firearms/Weapons,0.27016092016237453,0.2524916604567497,0.28875435089917667,7.5977e-320
Outgroup Othering,white-supremacist,3,Animals/Wehrwolf,1.132694204072563,1.0723511774367307,1.195906651963857,7.497661524775537e-6
Outgroup Othering,white-supremacist,4,Religious Ideology,0.8276387291831189,0.7782531847222491,0.8795552881636313,1.3548720589527302e-9
Outgroup Othering,white-supremacist,5,Vaccines/Health,0.5941709841257222,0.5522698759580748,0.6385132467197863,6.236097360093992e-45
Outgroup Othering,white-supremacist,6,Appearance/Aesthetics,0.8835588079783995,0.823980118104195,0.9465714323325568,4.6683855739349287e-4
Outgroup Othering,white-supremacist,7,Demographics/Heritage,0.7897619630686854,0.7309471189816183,0.8522646825518994,1.6817297527055792e-9
Outgroup Othering,white-supremacist,8,Generational Conflict,0.9845401128476484,0.9088999603408435,1.065169939452918,0.7002326877233118
Outgroup Othering,white-supremacist,9,Law Enforcement,1.1488367510090027,1.063914374423015,1.2392421525487212,3.6267342922012975e-4
Outgroup Othering,white-supremacist,10,Fitness/Combat Sports,0.31334044034398695,0.2764434399864689,0.3536671403043694,3.4224880916844085e-76
Outgroup Othering,white-supremacist,11,Survival/Outdoors,0.37709953897579257,0.33089674037415523,0.4278243403090198,4.022074817091544e-50
Outgroup Othering,white-supremacist,12,Age/Time Discussion,0.20019319352748188,0.1680117228085742,0.23646416130874348,3.54139287629296e-76
Outgroup Othering,white-supremacist,13,Education/Homeschool,0.31803485184586944,0.25438721794639996,0.3922524922054365,2.975793304423223e-25
Outgroup Othering,white-supremacist,14,Technology/Devices,0.29117510597030843,0.1895474333579432,0.42613717305231713,2.023180916859479e-9
Outgroup Othering,white-supremacist,15,Non-English (Spanish/German),1.232239658128215,0.9617689861125184,1.5601386882278545,0.09017287729183572
Outgroup Othering,white-supremacist,16,Tactical Training/Slurs,3.411434830970943,2.7997248609840906,4.14584050917038,1.439736343714739e-34
Outgroup Othering,white-supremacist,17,Accelerationism,0.20565474977805687,0.08736910376634614,0.4051532854001741,4.054323689440083e-5
Outgroup Othering,white-supremacist,18,Channel-Specific,0.9805321669859102,0.5430719141220598,1.6509853642720518,0.9443369994023896
