category,topic,label,n,identity_fusion,violence_condoning,existential_threat,outgroup_othering,composite_dcm,rank
terrorgram,13,Social Media/Antisemitism,553,0,0.12839059674502712,0.02531645569620253,0.620253164556962,0.1934900542495479,1
terrorgram,1,Antisemitism/Jews,10037,0.010469638049655998,0.11133260241204027,0.06650712932495763,0.48071364497159375,0.16725575368956191,2
terrorgram,2,White Nationalism/Russia-Ukraine,7083,0.03148828014685117,0.08938153064106184,0.08485105181420302,0.4215727798955245,0.15682341062441013,3
white-supremacist,1,Antisemitism/Racism,35647,0.009762940103801375,0.0887336587555406,0.01933058384535533,0.45226003759714933,0.14252180507546167,4
white-supremacist,16,Tactical Training/Slurs,423,0,0.07801418439716312,0,0.3947990543735225,0.1182033096926714,5
terrorgram,16,Numbers/Nazi Numerology,218,0.01834862385321101,0.21559633027522937,0.022935779816513763,0.17889908256880735,0.10894495412844038,6
terrorgram,9,Non-English (Spanish/Italian),1657,0.02051901025950513,0.06336753168376584,0.060350030175015085,0.15992757996378998,0.07604103802051901,7
white-supremacist,15,Non-English (Spanish/German),430,0.013953488372093023,0.07459207459207459,0.009324009324009324,0.19069767441860466,0.0721418116766954,8
terrorgram,10,Saints/Martyrs,1722,0.012195121951219513,0.0975609756097561,0.0272938443670151,0.12427409988385599,0.06533101045296168,9
terrorgram,7,Paganism/Satanism,2033,0.008362026561731432,0.019183472700442697,0.01131333005410723,0.22096456692913385,0.06495584906135381,10
white-supremacist,3,Animals/Wehrwolf,10453,0.008706467661691543,0.06553142638476993,0.0028702640642939152,0.1780350138716158,0.0637857929955928,11
white-supremacist,9,Law Enforcement,4858,0.001442406758705955,0.06464896026353717,0.004942339373970346,0.18011527377521613,0.0627872450428574,12
764,2,Race/Ethnicity,7416,0.0026997840172786176,0.017401861594496155,0.0033729087965461415,0.21796601025087672,0.06036014116479941,13
764,7,Religion,2905,0.0024104683195592287,0.027882960413080894,0.002753872633390706,0.20791738382099828,0.06024117129675728,14
white-supremacist,8,Generational Conflict,4942,0.004857316332726169,0.05584783488466208,0.007082152974504249,0.1584378794010522,0.05655629589823617,15
white-supremacist,0,Expletive Chat,61784,0.0019264079775953896,0.028327694773135632,0.0024607414602557877,0.16052640098416912,0.04831031129878898,16
terrorgram,0,Expletive Chat,26671,0.0016128427290799294,0.026024674691566354,0.002175217521752175,0.16220472440944883,0.04800436483796182,17
white-supremacist,6,Appearance/Aesthetics,7147,0.001818945011893102,0.03651881908493074,0.002658458094305303,0.14453616902196725,0.0463830978032741,18
terrorgram,11,Propaganda Documentary,1630,0.009253547193090685,0.028887523048555623,0.02890528905289053,0.10865561694290976,0.04392549405936165,19
terrorgram,4,Guns/Violence,2856,0.005606166783461808,0.09593837535014006,0.0035014005602240898,0.06722689075630252,0.04306820836253212,20
white-supremacist,4,Religious Ideology,9926,0.00614733447546105,0.02267230955259976,0.0045362903225806455,0.13663845223700122,0.04249859664691067,21
white-supremacist,7,Demographics/Heritage,6204,0.004674403610573823,0.028852353320438427,0.004513217279174726,0.13120567375886524,0.04231141199226306,22
white-supremacist,18,Channel-Specific,95,0,0,0,0.15789473684210525,0.039473684210526314,23
764,16,Non-English (German/Dutch),371,0.008086253369272238,0.02425876010781671,0.0026954177897574125,0.1078167115902965,0.03571428571428571,24
terrorgram,5,Animals/Nature,2750,0.0010913059294288831,0.02909090909090909,0.001090909090909091,0.10618181818181818,0.034363735573266316,25
white-supremacist,17,Accelerationism,185,0,0.0918918918918919,0.005405405405405406,0.03783783783783784,0.033783783783783786,26
terrorgram,8,Mental Health/Intelligence,1967,0.004069175991861648,0.020843924758515507,0.0076297049847405905,0.09811896288764616,0.03266544215569098,27
white-supremacist,5,Vaccines/Health,8733,0.0016031146226955226,0.021527539219054162,0.004122294744074201,0.10202679491583648,0.03231993587541509,28
terrorgram,17,Infrastructure (Physical/Digital),151,0.006622516556291391,0.08609271523178808,0.006622516556291391,0.026490066225165563,0.03145695364238411,29
white-supremacist,11,Survival/Outdoors,3821,7.853403141361257e-4,0.041623036649214656,0.0015702695629416384,0.06725987961266684,0.027809631534739816,30
764,0,Expletive Chat/CSAM,158810,6.047015545869132e-4,0.01782835407325306,2.8969625976937657e-4,0.08577042242877654,0.02612329357909647,31
terrorgram,14,Accelerationism,418,0.0023923444976076554,0.05980861244019139,0.009569377990430622,0.02631578947368421,0.02452153110047847,32
764,13,Subculture/Conspiracy,462,0,0.006493506493506494,0,0.09090909090909091,0.024350649350649352,33
764,11,Gore/Illegal Content,656,0,0.0350609756097561,0,0.05945121951219512,0.023628048780487805,34
terrorgram,18,Subcultural Identity,55,0,0,0,0.09090909090909091,0.022727272727272728,35
white-supremacist,2,Firearms/Weapons,20361,7.860862729684582e-4,0.03728996757394124,6.386637189879636e-4,0.04912315174141573,0.02195946732682835,36
764,4,Extortion/Leaking,3658,8.201202843083652e-4,0.01694915254237288,0,0.0661563696008748,0.02098141060688901,37
white-supremacist,10,Fitness/Combat Sports,4900,0.0012244897959183673,0.02040816326530612,2.0408163265306123e-4,0.05653061224489796,0.019591836734693877,38
764,6,Doxxing/Trolling,3451,0.002028397565922921,0.014198782961460446,2.897710808461316e-4,0.061141698058533755,0.019414662416690813,39
white-supremacist,13,Education/Homeschool,1535,0.004560260586319218,0.009771986970684038,0.003257328990228013,0.05732899022801303,0.018729641693811076,40
terrorgram,6,Raw Diet/Health,2230,0.0013452914798206279,0.01031390134529148,0.0017937219730941704,0.05336322869955157,0.01670403587443946,41
white-supremacist,14,Technology/Devices,474,0,0.008438818565400843,0,0.052742616033755275,0.01529535864978903,42
terrorgram,12,Propaganda Materials,1202,0.004991680532445923,0.008319467554076539,0.0016652789342214821,0.04409317803660566,0.0147674012643374,43
764,1,Platform Administration,16027,7.492039707810451e-4,0.004618649357133941,1.8726591760299626e-4,0.0486145781328008,0.013542424344579695,44
white-supremacist,12,Age/Time Discussion,3770,0.0015915119363395225,0.009814323607427056,0.001326259946949602,0.03687002652519894,0.01240053050397878,45
764,18,Appearance Discussion,109,0,0,0,0.045871559633027525,0.011467889908256881,46
764,5,Media Sharing,3642,0,0.011257550796265788,0,0.025535420098846788,0.009198242723778144,47
764,17,OPSEC/OSINT,253,0,0,0,0.03557312252964427,0.008893280632411068,48
764,14,Usernames/Players,395,0,0.027848101265822784,0,0.007594936708860759,0.008860759493670886,49
764,3,Money/Banking,6680,2.994460248540201e-4,0.005389221556886228,0,0.028293413173652696,0.008495520188848235,50
terrorgram,3,Media Sharing,3680,0.002177463255307567,0.004892633867898886,0.0013594344752582926,0.017124218537646098,0.006388437534027711,51
764,8,Food/Drinks,2748,0,0.004002911208151383,0,0.021106259097525473,0.006277292576419214,52
764,9,Gaming,2463,0,0.001218026796589525,0,0.023142509135200974,0.0060901339829476245,53
764,12,Lore/Storytelling,637,0.0031397174254317113,0.0015698587127158557,0,0.018838304552590265,0.005886970172684458,54
terrorgram,15,Gaming,317,0,0,0,0.01892744479495268,0.00473186119873817,55
764,15,Statistics/Demographics,416,0.002403846153846154,0,0.002403846153846154,0.01201923076923077,0.00420673076923077,56
764,10,Time/Dates,1239,8.077544426494346e-4,0.002421307506053269,0,0.008071025020177562,0.0028250217422200663,57
